Coordinates;Coordinates.x1;Coordinates.x2;Coordinates.y1;Coordinates.y2;Coordinates.z1;Coordinates.z2;Coordinates.PositionUp;Coordinates.PositionDown;Coordinates.label;Coordinates.posUpDown;Coordinates.type;Coordinates.additionalInfos;Coordinates.View;Coordinates.ShowDimension
Klimor.WebApi.DXF.Structures.Coordinates;10170;10270;2787;2887;-1;-1;0;0;icon_plate;"Icon: DE";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;10170;10270;2787;2887;3701;3701;0;0;icon_plate;"Icon: DE";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;50;950;170;2070;0;50;1;1;Operational;"";Removable_2;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;1000;1900;170;2070;0;50;2;2;Operational;"";Removable_2;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;1950;2850;170;2070;0;50;3;3;Operational;"";Removable_2;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;50;1825;1;1;Down_Wall;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;50;1825;1;1;Down_Wall;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;50;1825;1;1;Down_Wall;"";Wall;"";Down;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;50;1825;1;1;Down_Wall;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;50;1825;1;1;Down_Wall;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;1875;3650;1;1;Down_Wall;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;1875;3650;1;1;Down_Wall;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;1875;3650;1;1;Down_Wall;"";Wall;"";Down;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;1875;3650;1;1;Down_Wall;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;50;1050;120;170;1875;3650;1;1;Down_Wall;"";Wall;"";RightFront;True
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;50;1825;2;2;Down_Wall;"";Wall;"";Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;50;1825;2;2;Down_Wall;"";Wall;"";Back;True
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;50;1825;2;2;Down_Wall;"";Wall;"";Down;True
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;50;1825;2;2;Down_Wall;"";Wall;"";LeftFront;True
Klimor.WebApi.DXF.Structures.Coordinates;1100;2000;120;170;50;1825;2;2;Down_Wall;"";Wall;"";RightFront;True
